t,x,y,z,sum,frame
15185,0.98,25,,,1196
15195,0.98,10,,,1197
15212,0.98,17,,,1198
15236,-0.98,24,,,1199
15248,0.98,12,,,1201
15266,0.98,18,,,1203
15283,0,17,,,1204
15306,0.98,23,,,1205
15319,0,13,,,1207
15339,0,20,,,1208
15353,-1.96,14,,,1210
15372,0.98,19,,,1212
15392,1.96,20,,,1214
15411,-0.98,19,,,1216
15428,0,17,,,1218
15444,0,16,,,1219
15463,0,19,,,1220
15479,0.98,16,,,1221
15498,0.98,19,,,1222
15515,0.98,17,,,1224
15543,1.96,28,,,1225
15550,0.98,7,,,1226
15568,0.98,18,,,1227
15593,0.98,25,,,1228
15604,0,11,,,1230
15621,-0.98,17,,,1231
15639,0.98,18,,,1232
15657,0,18,,,1234
15679,0.98,22,,,1235
15695,0.98,16,,,1237
15710,0,15,,,1239
15730,0,20,,,1240
15754,-0.98,24,,,1241
15770,2.94,16,,,1243
15782,0.98,12,,,1244
15806,1.96,24,,,1246
15828,0.98,22,,,1247
15836,0.98,8,,,1248
15853,0,17,,,1250
15869,0.98,16,,,1251
15892,-1.96,23,,,1252
15918,0,26,,,1253
15931,-0.98,13,,,1254
15944,0.98,13,,,1255
15963,0.98,19,,,1257
15978,-0.98,15,,,1258
15996,0.98,18,,,1259
16018,0.98,22,,,1260
16033,0.98,15,,,1262
16051,0.98,18,,,1263
16067,0,16,,,1264
16088,0,21,,,1265
16105,0.98,17,,,1267
16121,0,16,,,1268
16142,1.96,21,,,1269
16158,0,16,,,1270
16175,-0.98,17,,,1271
16194,0,19,,,1272
16212,0,18,,,1273
16228,-0.98,16,,,1275
16249,0.98,21,,,1276
16264,0.98,15,,,1277
16283,-1.96,19,,,1278
16302,1.96,19,,,1279
16321,0.98,19,,,1280
16339,0,18,,,1282
16354,0.98,15,,,1283
16372,-0.98,18,,,1285
16391,0,19,,,1287
16419,0,28,,,1288
16425,0,6,,,1289
16443,0,18,,,1291
16460,0,17,,,1293
16481,0.98,21,,,1294
16496,0,15,,,1295
16519,0,23,,,1296
16533,-0.98,14,,,1297
16552,-0.98,19,,,1298
16570,0.98,18,,,1299
16588,0.98,18,,,1301
16605,-0.98,17,,,1303
16623,0,18,,,1305
16641,0,18,,,1307
16660,0,19,,,1308
16678,0,18,,,1310
16695,0,17,,,1312
16711,0.98,16,,,1313
16738,-0.98,27,,,1314
16749,2.94,11,,,1316
16766,-1.96,17,,,1318
16789,0,23,,,1319
16803,0.98,14,,,1320
16820,0.98,17,,,1322
16840,0.98,20,,,1324
16855,0.98,15,,,1326
16881,0.98,26,,,1327
16892,0.98,11,,,1328
16910,1.96,18,,,1329
16925,1.96,15,,,1330
16944,0,19,,,1332
16966,0,22,,,1333
16978,1.96,12,,,1334
16998,0,20,,,1335
17021,1.96,23,,,1336
17034,0.98,13,,,1337
17049,2.94,15,,,1338
17069,0,20,,,1340
17088,0.98,19,,,1341
17105,1.96,17,,,1343
17120,0,15,,,1345
17140,0.98,20,,,1346
17163,-1.96,23,,,1347
17187,0,24,,,1348
17192,-0.98,5,,,1349
17211,0.98,19,,,1350
17229,1.96,18,,,1351
17247,0.98,18,,,1352
17270,0,23,,,1353
17282,-1.96,12,,,1355
17301,0,19,,,1357
17319,-0.98,18,,,1358
17336,0,17,,,1359
17354,0,18,,,1360
17384,1.96,30,,,1361
17390,0.98,6,,,1362
17408,-0.98,18,,,1363
17429,-0.98,21,,,1364
17444,0,15,,,1365
17462,0,18,,,1366
17485,0,23,,,1367
17499,0.98,14,,,1368
17515,1.96,16,,,1370
17536,0.98,21,,,1371
17553,-0.98,17,,,1373
17579,0,26,,,1374
17588,0.98,9,,,1375
17606,0,18,,,1376
17628,0,22,,,1377
17641,0,13,,,1378
17658,0,17,,,1380
17694,0.98,36,,,1381
17702,-1.96,8,,,1383
17712,0.98,10,,,1384
17731,0,19,,,1385
17757,-0.98,26,,,1387
17768,0,11,,,1388
17788,0.98,20,,,1389
17801,0,13,,,1390
17820,0,19,,,1392
17847,0.98,27,,,1394
17855,0,8,,,1395
17871,0.98,16,,,1397
17893,-0.98,22,,,1399
17921,-0.98,28,,,1401
17933,-1.96,12,,,1402
17948,0,15,,,1403
17970,0.98,22,,,1405
17985,0,15,,,1406
18008,0.98,23,,,1408
18017,0.98,9,,,1410
18035,0.98,18,,,1412
18053,0.98,18,,,1414
18076,0.98,23,,,1416
18092,-1.96,16,,,1418
18107,0.98,15,,,1419
18130,0,23,,,1420
18153,-0.98,23,,,1421
18161,0.98,8,,,1422
18178,-0.98,17,,,1423
18196,-0.98,18,,,1424
18215,0,19,,,1425
18236,0.98,21,,,1426
18251,0.98,15,,,1428
18269,0.98,18,,,1429
18286,1.96,17,,,1431
18307,0,21,,,1432
